variable,count,mean,std,min,25%,50%,75%,max
deaths_week,471.0,134.3099787685775,20.705675195914214,89.0,119.0,133.0,147.0,209.0
temp_c_mean,470.0,21.78184802431611,2.6439020806038176,15.642857142857142,19.503571428571426,21.75952380952381,24.064285714285717,28.82857142857143
tmax_c_mean,470.0,24.85983232016211,2.7541512551912635,18.52857142857143,22.575000000000003,24.83571428571429,26.96785714285714,32.88333333333333
tmin_c_mean,470.0,18.705001519756834,2.6012310767263793,12.742857142857144,16.407142857142855,18.54642857142857,21.099999999999998,24.928571428571427
humidity_mean,470.0,63.76783687943262,5.728637721682158,36.57142857142857,60.857142857142854,64.28571428571429,67.14285714285714,78.71428571428571
pressure_hpa_mean,470.0,1013.2326643870314,3.1497057247308238,1003.4571428571428,1011.0267857142858,1012.6761904761904,1014.9767857142857,1023.2857142857143
wind_ms_mean,471.0,7.449376200586391,2.616907211475564,2.2142857142857144,5.321428571428571,7.3,9.235714285714284,13.814285714285715
PM10,471.0,55.545394803356594,62.50767643203449,15.714285714285714,33.142857142857146,41.142857142857146,54.35714285714286,934.4285714285714
PM2.5,460.0,19.42459109730849,16.232242529338542,3.5,12.42142857142857,16.0,20.714285714285715,217.85714285714286
SO2,454.0,6.840318858821061,4.0087638510095855,0.2857142857142857,3.857142857142857,6.142857142857143,9.0,29.571428571428573
NO2,471.0,38.524946921443735,17.087186750554984,7.714285714285714,24.785714285714285,34.714285714285715,51.785714285714285,89.71428571428571
O3,465.0,70.47089093701997,11.065227712294785,35.0,62.714285714285715,69.71428571428571,78.14285714285714,107.85714285714286
cap_heat_level_max_week,342.0,1.2719298245614035,0.6536846305627713,1.0,1.0,1.0,1.0,4.0
cap_dust_level_max_week,342.0,1.0730994152046784,0.2606810087599455,1.0,1.0,1.0,1.0,2.0
cap_heat_yellow_plus_week,342.0,0.17543859649122806,0.38089909151825496,0.0,0.0,0.0,0.0,1.0
cap_dust_yellow_plus_week,342.0,0.07309941520467836,0.26068100875994543,0.0,0.0,0.0,0.0,1.0
cap_coverage_week,342.0,0.9933166248955723,0.04593178646230619,0.2857142857142857,1.0,1.0,1.0,1.0
calima_dai_flag,325.0,0.248357316606881,1.2226804466615186,0.0,0.0,0.0,0.0,16.666666666666668
low_vis_any_week,471.0,0.7919320594479831,0.4063573048488824,0.0,1.0,1.0,1.0,1.0
vis_min_m_week,471.0,13540.095541401273,4955.8986583796295,0.0,10000.0,14000.0,18000.0,30000.0
rh_min_pct_week,470.0,47.06640529720203,9.841617546931369,9.78609430075955,42.66936933804964,49.366390078017716,53.192610656555914,75.38377483046645
