,count,mean,std,min,25%,50%,75%,max
deaths_week,523.0,15.919694072657744,4.689318413791353,4.0,13.0,15.0,19.0,31.0
temp_c_mean,471.0,21.823972298048734,3.040843725358541,14.5,19.15714285714286,21.75714285714286,24.42142857142857,29.214285714285715
tmax_c_mean,471.0,26.0454635527247,3.314672142588458,18.228571428571428,23.299999999999997,26.057142857142857,28.607142857142858,34.871428571428574
tmin_c_mean,471.0,17.600861389141645,2.850791249073096,10.785714285714286,15.07857142857143,17.571428571428573,20.25,24.0
humidity_mean,471.0,63.943281771307255,5.459263209986089,38.142857142857146,60.857142857142854,64.0,67.14285714285714,81.0
pressure_hpa_mean,471.0,1015.9791173794358,3.3192750301044427,1007.407142857143,1013.6464285714285,1015.2857142857143,1017.7357142857143,1025.8857142857144
wind_ms_mean,471.0,6.28274694166414,1.9442113945070554,1.8714285714285714,4.7214285714285715,6.1000000000000005,7.728571428571429,12.185714285714285
PM10,523.0,51.565756252008875,59.03630707289818,10.721817016601562,26.571428571428573,35.285714285714285,51.714285714285715,530.1428571428571
PM2.5,480.0,14.077573923142184,12.149702291503763,1.0,8.0,10.857142857142858,15.335827146257673,105.28571428571429
SO2,471.0,6.038681629764432,4.560691708060616,0.42857142857142855,3.0,5.0,7.773809523809524,37.42857142857143
NO2,454.0,27.01388714075939,18.652719765613327,2.0,11.071428571428571,24.142857142857142,37.0,104.0
O3,471.0,75.86388636133857,12.988961371130383,42.6,67.14285714285714,76.57142857142857,84.92857142857143,111.42857142857143
cap_heat_level_max_week,394.0,1.119289340101523,0.43799625004270504,1.0,1.0,1.0,1.0,4.0
cap_dust_level_max_week,394.0,1.0736040609137056,0.2614574643861073,1.0,1.0,1.0,1.0,2.0
cap_heat_yellow_plus_week,394.0,0.08375634517766498,0.2773742780064247,0.0,0.0,0.0,0.0,1.0
cap_dust_yellow_plus_week,394.0,0.07360406091370558,0.2614574643861073,0.0,0.0,0.0,0.0,1.0
cap_coverage_week,394.0,0.9927483683828862,0.05145480346665892,0.2857142857142857,1.0,1.0,1.0,1.0
low_vis_any_week,471.0,0.46709129511677283,0.4994463212575309,0.0,0.0,0.0,1.0,1.0
vis_min_m_week,471.0,17837.743099787687,7507.897666459771,1200.0,12000.0,18000.0,25000.0,40000.0
rh_min_pct_week,471.0,43.34074930126244,7.890319976347037,10.5061906759835,39.66411760822177,44.541111469836196,48.238147748299255,65.12562243169859
